Image,Dimensions,JPEG_Size_KB,JPEG_BPP,JPEG_PSNR,JPEG_SSIM,RHCCQ_Size_KB,RHCCQ_BPP,RHCCQ_PSNR,RHCCQ_SSIM,PSNR_Improvement,SSIM_Improvement,Size_Diff_%,Compression_Ratio_JPEG,Compression_Ratio_RHCCQ
adidas,735×568,42.9,0.84,42.58,0.9878,33.0,0.65,37.76,0.9798,-4.82,-0.0080,-23.2,0.65,0.85
AVERAGE,,42.9,0.84,42.58,0.9878,33.0,0.65,37.76,0.9798,-4.82,-0.0080,-23.2,0.65,0.85
